stronghold_id,location_id,stronghold_name,stronghold_type,control,stronghold_threshold,historical_gloss
0,8f6889082cc8011,Kirdag,Town,Delisgar,10,"Fisherman and farmers call this place their home, a village grown to a town by serving travelers between Brialgon and the fortresses on the Bream."
1,8f6889082cc8065,Bream Watch,Fortress,Delisgar,20,These brine-soaked walls guard the entrance to Algos Bay.
2,8f6889082cc8083,Tarag,Fortress,Delisgar,20,One of the twin fortresses blocking the straits between outer and inner Algos Bay. Invaders coming by sea must deal with them before threatening Yinnagul or Brialgon.
3,8f6889082cc8098,Nagos,Fortress,Delisgar,20,One of the twin fortresses blocking the straits between outer and inner Algos Bay. Invaders coming by sea must deal with them before threatening Yinnagul or Brialgon.
4,8f6889082cc80b0,Tarean,Town,Delisgar,10,A waypoint on the road from Brialgon to the keeps on the Bream.
5,8f6889082cc80c1,Veliken,Town,Delisgar,10,This coastal settlement sits in the shadow of Fort Saint Ulma on her high hill.
6,8f6889082cc80ca,Ft. St. Ulma,Fortress,Delisgar,20,"There was a time when Orbost answered to the Delisgrene King. But now, this stronghold forms a welcome buffer between that city and the queen's lands."
7,8f6889082cc8111,Preff Hold,Fortress,Allakia,20,Traffra's last line of defense against attack from the south.
8,8f6889082cc8116,Keffra,Town,Allakia,10,"Here the Delisgrene and the Allakian mix, perfumed traders from Brialgon and dour merchants from Traffra."
9,8f6889082cc8140,Raffos Keep,Fortress,Delisgar,20,"When the royal family ruled every hamlet west of Orbost, this fortress guarded Traffra from the sea. Now, its garrison keeps a mistrustful eye on that same city."
10,8f6889082cc8159,Dialgen,Town,Delisgar,10,"When soldiers from Raffos Keep or Bream Watch are given leave, they come here. Few forms of vice cannot be found on the streets of Dialgen."
11,8f6889082cc8173,Traffra,City,Allakia,15,"A city built to Delisgrene sensibilities, now peopled by the hardy folk of Allakia. What few royal institutions remain face steep decline, though the Prince retains the title ""Duke of Traffra."""
12,8f6889082cc8184,Ft. St. Lavora,Fortress,Delisgar,20,These towers defend the road into Brialgon from the north.
13,8f6889082cc8212,Orbost,City,Dinn,15,"At the root of Dapto Sound, roads spread like a spider's web from Orbost's many gates. Despite its subjugation by the Sultanate, Orbost's residents still think of it as a ""free city."""
14,8f6889082cc8226,Dapto Watch,Fortress,Dinn,20,An often-neglected stronghold. What invader would come from Sawte?
15,8f6889082cc8298,Vardac Crossing,Fortress,Dinn,20,A key fortification where the eastern road from the Dinn heartland meets the north-south highway linking Orbost to the Boonan Free State.
16,8f6889082cc831c,Sawte,Town,Dinn,10,"A sleepy town of woodsmen and fishermen. The road sees little traffic; the river, even less."
17,8f6889082cc8355,Bostion's Hold,Fortress,Dinn,20,Any army crossing Bostion's Bridge must break upon these walls.
18,8f6889082cc839d,Ulgis,Town,Dinn,10,"Just west of Orbost, Ulgis straddles the river Ull. The tolls that once fattened the town's coffers now flow eastward to the Sultan."
19,8f6889082cc8448,Yinnagul,City,Delisgar,15,"Brialgon's dissipate sibling, all the vice and none of the dignity. Ruled by a duke from a cadet branch of the royal family."
20,8f6889082cc8463,Bucca,Town,Delisgar,10,"Across the bay from Yinnagul, at the tip of a promontory. Travelers from Brialgon pass through each day, headed for the coastal forts."
21,8f6889082cc84d4,Rushkegal,Town,Delisgar,10,"The largest settlement in the Kegos valley, Rushkegal hosts regular market days, and boasts several inns for travelers between Delisgar and the Boonan Free State."
22,8f6889082cc850d,Ft. St. Agnella,Fortress,Delisgar,20,"Glowering down on Brialgon, this saint-blessed stronghold saw many sieges in the bygone days of warfare between Yinnagul and her elder sibling."
23,8f6889082cc8520,Plovul,Town,Delisgar,10,The bargemen who ply the river Bria stop here on their journeys to and from Brialgon.
24,8f6889082cc8543,Ft. St. Elga,Fortress,Delisgar,20,An attack along the Algos road seems unlikely. But the royal family has not held the throne so long for lack of paranoia.
25,8f6889082cc8573,The Hagiomphalos,Fortress,Delisgar,20,"The refuge of the royal family, a palace-cum-redoubt. Every wall bears images of the saints, both within and without."
26,8f6889082cc8602,Ormo,Town,Delisgar,10,"At the midpoint between three cities, Ormo's lord mayors have never blushed to enrich themselves from their place on the trade routes."
27,8f6889082cc8636,Castle Nalish,Fortress,Delisgar,20,"Many roads lead to Yinnagul, and each must be guarded."
28,8f6889082cc8686,Meono,Town,Boonan,10,The only crossing of the river Orr between Orbost and Jerboon.
29,8f6889082cc86c3,Soobridge Watch,Fortress,Boonan,20,"Only two roads approach Jerboon from the east. Soobridge Watch guards one of them, at a natural choke point over the Lower Soo River."
30,8f6889082cc8753,Ft. Orr,Fortress,Delisgar,20,The roads are not all that need watched. Every traveler on the river passes under Fort Orr's eye.
31,8f6889082cc8754,Nabiac,Town,Delisgar,10,"The farmers of the Orr valley bring their grain to Nabiac's grindstones. The river Nabca flows fast, and turns many wheels."
32,8f6889082cc8785,Festien,Town,Delisgar,10,The ground south of Yinnagul is some of the most fertile in all the Copper Coast.
33,8f6889082cc8799,Three Road Keep,Fortress,Delisgar,20,"The Boonan Free State has never threatened Delisgar. Still, no road to Yinnagul can be left open."
34,8f6889082cc87b6,Lastien,Town,Delisgar,10,"The spring floods are dangerous, but the silt they leave behind offers harvests unmatched elsewhere."
35,8f6889082cc8892,Gorolkan,Town,Allakia,10,A farming town along the coastal road.
36,8f6889082cc8a52,Yamnos,Town,Dinn,10,"Farm Yamnos, last eye of the settled lands looking north across the Woolly Sea. What has it seen?"
37,8f6889082cc8b10,Castle Razgal,Fortress,Dinn,20,"Meant to guard the Diamond Isle. Were the holy knights who guarded it slaughtered by the Sultan's men, or do they languish in dungeon?"
38,8f6889082cc8b8c,Parl,Town,Dinn,10,"Gateway to the Diamond Isle. Ought to be bigger, but kept small by the bossmen in Hemz."
39,8f6889082cc8ba3,Hemz,Town,Dinn,10,"Barely a village on the mainland, here it's the biggest town around. Locals curse pilgrims with one hand and take their coin with the other."
40,8f6889082cc8ba4,Getch,Town,Dinn,10,"End of the pilgrimage, site of the Hundred Mausoleums. They say the Sultan's men looted the relics and smashed the saints' bones."
41,8f6889082cc8c54,Smara,Town,Allakia,10,The farms of the Keff valley send their harvest here for loading onto barges and shipment down the river towards Keffra and the Sound.
42,8f6889082cc8ca1,Oughan Keep,Fortress,Allakia,20,"Good terrain, good sightlines. What does it defend against? Time will tell."
43,8f6889082cc8cdb,Brialgon,City,Delisgar,15,"The royal capital, ancient and decadent as Delisgar herself."
44,8f6889082cc8d31,Highhold,Fortress,Allakia,20,An army marching on Port Yarbalk might think they were clever to avoid the coastal road. Highhold is here to disabuse them of that notion.
45,8f6889082cc8d44,Braff Mouth,Town,Allakia,10,"Raucous, salty. Some call it Port Yarbalk in miniature."
46,8f6889082cc8d4c,Ft. Pelk,Fortress,Allakia,20,"The coastal road is an easy one, so many defenses are needed."
